idUSER,Id,Password,Name,Gender,Address,Birth,PhoneNumber,FK_TypeName,UserScore
46,rdal20,a98110378komoa981,Frederick,W,경기도 안양시 동안구 달안동,19740603,010-2716-0099,평가자,0
47,sins20,aaaaa0728kmjnaaaa,Howard,W,경기도 용인시 기흥구 구성동,19580102,010-6855-0015,제출자,0
48,sgh921csj,aajungychkmjaaaju,Lewis,W,부산광역시 동구 초량2동,19591007,010-3813-0034,평가자,94
49,sg4221sj,abc5354541kmjaabc5,Ralph,W,대구광역시 동구 신암4동,19650901,010-2947-0019,평가자,42
50,peiz300,abcd179kmj8abcd,Herbert,W,충청북도 청주시상당구 금천동,19520301,010-1204-0096,제출자,85
51,peh032g,acciyaki19acci,Paul,W,인천광역시 옹진군 백령면,19791101,010-4395-0023,평가자,85
52,pdud37pow,ace3838khyoace3,Lee,M,경상남도 함양군 서상면,19640301,010-5334-0021,제출자,41
53,ov305,adminkey6admi,Tom,M,경상북도 김천시 아포읍,19460626,010-4484-0023,제출자,0
54,on126,ady1225kes0ady1,Herman,W,,19811105,010-7284-0075,제출자,0
55,on976,aek222k222aek2,Martin,W,전라북도 전주시완산구 효자2동,19770401,010-4346-0085,제출자,41
56,orkm6,aeney120k079aene,Jacob,M,대전광역시 중구 대사동,19760110,010-5099-0025,제출자,42
57,osk063270,aera5415jwyoaera,Michael,M,경상북도 경산시 하양읍,19701222,010-8806-0073,평가자,0
58,nooo7,af0223jungaf02,Jim,M,세종특별자치시  종촌종,19921002,010-1332-0029,평가자,26
59,oh13741,agape4530jjy4agap,Claude,W,,19821001,010-4646-0044,제출자,87
60,nsik74im,agh6737jjscagh6,Ben,W,경기도 안양시 동안구 귀인동,19490114,010-4481-0032,평가자,55
61,notc76,ahh06620805jgnuahh0,Eugene,W,충청북도 청주시서원구 수곡2동,19500101,010-8068-0010,제출자,42
62,moom77jeo,ahn11111jd97ahn1,Francis,W,전라남도 고흥군 금산면,19620101,010-6187-0028,평가자,58
63,lpea86,ahrfus123j829ahrf,Grover,M,전라북도 진안군 부귀면,19640201,010-2182-0021,평가자,0
64,love93h,ahtsksdl6injaahts,Raymond,W,부산광역시 부산진구 전포2동,19420315,010-4299-0019,평가자,85
65,es76a,ai4250h987ai42,Harvey,M,강원도 화천군 간동면,19940801,010-0635-0008,제출자,0
66,gsuka,aid333gychaid3,Clyde,W,,19650101,010-9351-0055,평가자,0
67,gycha,aierhefenggsukaier,Edwin,W,서울특별시 관악구 중앙동,19430421,010-9334-0095,제출자,66
68,jjy4a,aj2238fengaj22,Edgar,W,서울특별시 은평구 갈현1동,19850427,010-2256-0007,제출자,74
69,k079a,ajd97es76ajd9,Ed,M,전라북도 김제시 요촌동,19631201,010-5640-0006,제출자,0
70,khyoa,aje0225dnjsaje0,Lawrence,M,경기도 용인시 처인구 양지면,19590806,010-0443-0032,평가자,0
71,konga,ajgnudminajgn,Bert,W,대구광역시 달서구 월성2동,19800613,010-2518-0001,평가자,75
72,lovea0,ajmma86dajuajmm,Chester,W,부산광역시 부산진구 부암1동,19820101,010-8812-0085,평가자,0
73,ma86a9,ajnad333ajna,Jack,M,충청남도 천안시동남구 목천읍,19680901,010-4588-0021,평가자,47
74,kmjna981,akfrdmf1213d179akfr,Otto,M,서울특별시 중구 약수동,19661001,010-6297-0043,제출자,42
75,kmjaaaaa,jjsch1crowjjsc,Luther,M,충청북도 청주시상당구 가덕면,19651006,010-4248-0093,평가자,0
76,kmjaaaju,jjy4228cordjjy4,Charley,W,경기도 수원시 영통구 매탄1동,19400426,010-8694-0060,평가자,75
77,ki19ab,kes0426ciyakes0,Guy,M,경기도 군포시 산본2동,19640301,010-2459-0039,평가자,0
78,kmj8abc53,key6747cho9key6,Floyd,W,충청남도 보령시 주포면,19610525,010-7299-0042,평가자,86
79,key6ac,khyon12bongkhyo,Ira,W,경기도 의정부시 가능3동,19740101,010-7977-0038,평가자,0
80,k222ad,ki1942bangki19,Ray,M,서울특별시 성동구 성수2가3동,19710113,010-1989-0096,평가자,42
81,jwyoaen,kmj829arankmj8,Hugh,W,서울특별시 송파구 장지동,19740613,010-4635-0072,제출자,41
82,jungaer,kmjaakfrkmja,Isaac,W,부산광역시 남구 대연4동,19640901,010-0197-0074,평가자,42
83,jgnuag,kmjnov30ajnakmjn,Oliver,W,,19670201,010-7116-0020,평가자,73
84,jjscagap,komoomajnakomo,Patrick,W,충청북도 보은군 삼승면,19550901,010-4597-0023,평가자,42
85,jd97ahh066,kong1103ajmmkong,Homer,W,경기도 부천시 중4동,19640901,010-7348-0014,평가자,0
86,j829ahn,kongtaegajgnkong,Theodore,W,전라북도 부안군 위도면,19710301,010-2498-0001,평가자,0
87,injaahrf,lovelyminaje0love,Leonard,W,경기도 성남시 중원구 상대원2동,19741111,010-5447-0040,제출자,25
88,h987ahts,lovepooh13ajd9love,Leo,M,경상남도 창원시 의창구 북면,19791001,010-4278-0055,제출자,0
89,fengaierh,lpeachoaj22lpea,Alexander,W,서울특별시 용산구 서빙고동,19771012,010-9822-0030,평가자,0
90,d333aj,nooo0416aiernooo,August,W,부산광역시 수영구 민락동,19800501,010-2242-0071,제출자,0
91,dminaj,notcrowaid3notc,Harold,W,서울특별시 성북구 보문동,19560112,010-5544-0087,평가자,0
92,cordakfrdm,nsik0125ai42nsik,Allen,W,경상북도 문경시 산북면,19620101,010-2282-0055,평가자,0
93,achocho9,orkmsahtsorkm,Jessie,M,경기도 평택시 포승읍,19630101,010-4228-0086,평가자,0
94,ace3d,osk079ahrfosk0,Archie,M,충청남도 논산시 강경읍,19750401,010-7893-0024,제출자,84
95,ciyaj,peh0202ahn1peh0,Philip,M,부산광역시 부산진구 부전1동,19741201,010-1220-0056,제출자,0
96,cho9jj,peizes76ahh0peiz,Stephen,M,경상남도 함양군 마천면,19691006,010-0912-0023,제출자,0
97,admijwy,person1974agh6pers,Horace,M,경상남도 김해시 부원동,19620701,010-4087-0009,제출자,42
98,ajgnk,rtop33333agaprtop,Marion,M,경기도 수원시 권선구 평동,19711001,010-1733-0002,평가자,0
99,ajnak,rud60af02rud6,Bernard,W,경상북도 영천시 완산동,19560101,010-2014-0050,제출자,42
100,akfrk,sgh987aerasgh9,Anthony,W,,19850301,010-6969-0026,평가자,0
